POL,POD,Place of Delivery,Curr,D20,D40,Note,polName,podName,originalPlaceOfDelivery,feederD20,feederD40,baseD20,baseD40,feederPlaceOfReceipt,feederPlaceOfReceiptID,Place of Receipt
657713,657381,657100,USD,3950,4900,"1,2,4",SHANGHAI,HOUSTON,"DENVER, CO",270,300,3680,4600,TAIZHOU,657713,TAIZHOU
657713,660236,657527,USD,3550,4400,"1,2,4",SHANGHAI,MOBILE,"MEMPHIS, TN",270,300,3280,4100,TAIZHOU,657713,TAIZHOU
657713,649304,649304,USD,2270,2800,"1,2,4",SHANGHAI,MIAMI,MIAMI,270,300,2000,2500,TAIZHOU,657713,TAIZHOU
657713,657524,657524,USD,2230,2750,"1,2,4",SHANGHAI,BOSTON,BOSTON,270,300,1960,2450,TAIZHOU,657713,TAIZHOU
659692,649220,649220,USD,2225,2750,"1,2,4",SHANGHAI,NEW YORK,NEW YORK,225,250,2000,2500,ZHANGJIAGANG,659692,ZHANGJIAGANG
659692,657301,657301,USD,2225,2750,"1,2,4",SHANGHAI,NORFOLK,NORFOLK,225,250,2000,2500,ZHANGJIAGANG,659692,ZHANGJIAGANG
659692,656034,656034,USD,2225,2750,"1,2,4",SHANGHAI,SAVANNAH,SAVANNAH,225,250,2000,2500,ZHANGJIAGANG,659692,ZHANGJIAGANG
659692,656290,656290,USD,2225,2750,"1,2,4",SHANGHAI,CHARLESTON,CHARLESTON,225,250,2000,2500,ZHANGJIAGANG,659692,ZHANGJIAGANG
659692,656034,656775,USD,2825,3500,"1,2,4",SHANGHAI,SAVANNAH,"ATLANTA, GA",225,250,2600,3250,ZHANGJIAGANG,659692,ZHANGJIAGANG
659692,649220,660245,USD,3265,4050,"1,2,4",SHANGHAI,NEW YORK,"BUFFALO, NY",225,250,3040,3800,ZHANGJIAGANG,659692,ZHANGJIAGANG
659692,656034,656284,USD,2825,3500,"1,2,4",SHANGHAI,SAVANNAH,"CHARLOTTE, NC",225,250,2600,3250,ZHANGJIAGANG,659692,ZHANGJIAGANG
659692,656034,660242,USD,3025,3750,"1,2,4",SHANGHAI,SAVANNAH,"CHATSWORTH, GA",225,250,2800,3500,ZHANGJIAGANG,659692,ZHANGJIAGANG
659692,649220,656569,USD,3265,4050,"1,2,4",SHANGHAI,NEW YORK,"CHICAGO, IL",225,250,3040,3800,ZHANGJIAGANG,659692,ZHANGJIAGANG
659692,657301,656569,USD,3265,4050,"1,2,4",SHANGHAI,NORFOLK,"CHICAGO, IL",225,250,3040,3800,ZHANGJIAGANG,659692,ZHANGJIAGANG
659692,649220,660244,USD,3265,4050,"1,2,4",SHANGHAI,NEW YORK,"CINCINNATI, OH",225,250,3040,3800,ZHANGJIAGANG,659692,ZHANGJIAGANG
659692,657301,660244,USD,3265,4050,"1,2,4",SHANGHAI,NORFOLK,"CINCINNATI, OH",225,250,3040,3800,ZHANGJIAGANG,659692,ZHANGJIAGANG
659692,649220,657532,USD,3145,3900,"1,2,4",SHANGHAI,NEW YORK,"CLEVELAND, OH",225,250,2920,3650,ZHANGJIAGANG,659692,ZHANGJIAGANG
