POL,POD,Place of Delivery,Curr,D20,D40,polName,podName,originalPlaceOfDelivery,feederD20,feederD40,baseD20,baseD40,feederPlaceOfReceipt,feederPlaceOfReceiptID,Place of Receipt
656727,656495,657532,USD,4365,5100,SINGAPORE,SEATTLE,CLEVELAND,495,550,3870,4550,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656495,660272,USD,4365,5100,SINGAPORE,SEATTLE,COLUMBUS,495,550,3870,4550,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656495,659550,USD,4450,5200,SINGAPORE,SEATTLE,DETROIT,495,550,3955,4650,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656495,657530,USD,6405,7500,SINGAPORE,SEATTLE,INDIANAPOLIS,495,550,5910,6950,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656495,657099,USD,4705,5500,SINGAPORE,SEATTLE,LOUISVILLE,495,550,4210,4950,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656495,657527,USD,3940,4600,SINGAPORE,SEATTLE,MEMPHIS,495,550,3445,4050,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656495,658126,USD,3855,4500,SINGAPORE,SEATTLE,OMAHA,495,550,3360,3950,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656495,656497,USD,2790,3250,SINGAPORE,SEATTLE,PORTLAND,495,550,2295,2700,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656495,656915,USD,4195,4900,SINGAPORE,SEATTLE,ST PAUL,495,550,3700,4350,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,660196,660196,USD,4225,5250,SINGAPORE,HONOLULU,,495,550,3730,4700,SIHANOUKVILLE,656727,SIHANOUKVILLE
649106,656495,656495,USD,1350,1900,SHANGHAI,SEATTLE,,90,100,1260,1800,DALIAN,649106,DALIAN
649106,656496,656496,USD,1350,1900,SHANGHAI,TACOMA,,90,100,1260,1800,DALIAN,649106,DALIAN
649106,656495,656569,USD,3450,4050,SHANGHAI,SEATTLE,CHICAGO,90,100,3360,3950,DALIAN,649106,DALIAN
649106,656495,660244,USD,3960,4650,SHANGHAI,SEATTLE,CINCINNATI,90,100,3870,4550,DALIAN,649106,DALIAN
649106,656495,657532,USD,3960,4650,SHANGHAI,SEATTLE,CLEVELAND,90,100,3870,4550,DALIAN,649106,DALIAN
649106,656495,660272,USD,3960,4650,SHANGHAI,SEATTLE,COLUMBUS,90,100,3870,4550,DALIAN,649106,DALIAN
649106,656495,659550,USD,4045,4750,SHANGHAI,SEATTLE,DETROIT,90,100,3955,4650,DALIAN,649106,DALIAN
649106,656495,657530,USD,6000,7050,SHANGHAI,SEATTLE,INDIANAPOLIS,90,100,5910,6950,DALIAN,649106,DALIAN
649106,656495,657099,USD,4300,5050,SHANGHAI,SEATTLE,LOUISVILLE,90,100,4210,4950,DALIAN,649106,DALIAN
649106,656495,657527,USD,3535,4150,SHANGHAI,SEATTLE,MEMPHIS,90,100,3445,4050,DALIAN,649106,DALIAN
649106,656495,658126,USD,3450,4050,SHANGHAI,SEATTLE,OMAHA,90,100,3360,3950,DALIAN,649106,DALIAN
649106,656495,656497,USD,2385,2800,SHANGHAI,SEATTLE,PORTLAND,90,100,2295,2700,DALIAN,649106,DALIAN
649106,656495,656915,USD,3790,4450,SHANGHAI,SEATTLE,ST PAUL,90,100,3700,4350,DALIAN,649106,DALIAN
649106,660196,660196,USD,3630,4560,SHANGHAI,HONOLULU,,90,100,3540,4460,DALIAN,649106,DALIAN
657001,656495,656495,USD,1350,1900,YANTIAN,SEATTLE,,90,100,1260,1800,DONGGUAN,657001,DONGGUAN
657001,656496,656496,USD,1350,1900,YANTIAN,TACOMA,,90,100,1260,1800,DONGGUAN,657001,DONGGUAN
657001,656495,656569,USD,3450,4050,YANTIAN,SEATTLE,CHICAGO,90,100,3360,3950,DONGGUAN,657001,DONGGUAN
